"","log2FoldChange","padj","Factor"
"ko:K12859",-0.257623574926835,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K12873",-0.781804703214538,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12877",0.218216514325218,0.99216739448942,"Menthol_Menthol_vs_Control"
"ko:K12947",-0.410502395076742,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K13025",-0.275126827127692,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K13120",0.77599517407338,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K13126",0.444139832307071,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K13176",-1.13975393159496,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K13251",0.670364663169198,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K13758",0.578162139423324,0.884068956121065,"Menthol_Menthol_vs_Control"
"ko:K13785",-2.6507080172727,1.62425727062469e-05,"Menthol_Menthol_vs_Control"
"ko:K14324",-0.682109239793681,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K14394",1.91783259282213,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K14397",-0.554361801246995,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K14753",-0.236470554199716,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K14803",-0.695155218856646,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K14965",-6.59052845178189,1.32703345629089e-12,"Menthol_Menthol_vs_Control"
"ko:K15025",0.05786463701077,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K15103",0.376600108285213,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K15620",-1.40577260567019,0.832007633248197,"Menthol_Menthol_vs_Control"
"ko:K16186",1.45739559638226,0.180351114706442,"Menthol_Menthol_vs_Control"
"ko:K16197",-1.29744631483065,0.20646597383492,"Menthol_Menthol_vs_Control"
"ko:K16344",-0.861959528942988,0.731002487381556,"Menthol_Menthol_vs_Control"
"ko:K16575",0.25283160967533,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K16794",-0.259445304199683,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K17080",-1.24765727648713,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K17081",-0.439102271468065,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K17093",1.35099196700827,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K17254",0.693382381506149,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K17255",0.625468479191291,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K17266",-0.693944827040056,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K17268",0.558273222341045,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K17497",-0.260261998348834,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K17780",-0.93185682078383,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K17795",0.855749747958302,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K17918",-0.0992281979314646,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K17920",0.87498411536204,0.00355749834574635,"Menthol_Menthol_vs_Control"
"ko:K18269",-0.721054229728676,0.731002487381556,"Menthol_Menthol_vs_Control"
"ko:K18466",-0.179330805231045,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K18617",0.314599902217511,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K19400",-0.11417362196684,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K19682",0.0927694609124675,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K19765",0.0203016023661291,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K19788",1.48182388450617,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K19931",-0.0841953880436601,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K19932",-0.70537795772807,0.85543053598594,"Menthol_Menthol_vs_Control"
"ko:K20011",0.00737344824565081,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K20301",0.49775704096052,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K20302",0.0957122514589756,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K20346",-0.892123896957208,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K20347",-0.405746914039871,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K20350",-1.44874228123907,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K20352",-0.137789675827402,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K20369",0.569944168790194,0.066278707228934,"Menthol_Menthol_vs_Control"
